"","Nome_científico","Local","Município","eventDate","decimalLatitude","decimalLongitude","measurementDeterminedBy","coordinate.type.","coordinateUncertaintyInMeters","rightsHolder","year","sigla.UF.","ID.","Situação","Categoria CDB","Subcategoria CDB","Ambiente","Grupo biológico"
"58","Nandayus nenday","Pantanal--Rio Pixaim vicinity","NA","2019-02-20T00:00:00",-16.748095,-56.85747,NA,NA,NA,"GBIF",2019,"MT","ID_121402","Presente",NA,NA,NA,NA
"59","Nandayus nenday","Pantanal--Pousada Rio Claro","NA","2019-02-21T00:00:00",-16.620695,-56.735313,NA,NA,NA,"GBIF",2019,"MT","ID_121403","Presente",NA,NA,NA,NA
"60","Nandayus nenday","NA","NA","2019-02-14T12:24:00",-19.493796,-56.957305,NA,NA,NA,"GBIF",2019,"MS","ID_121404","Presente",NA,NA,NA,NA
"61","Nandayus nenday","Miranda - MS","NA","2019-03-23T00:00:00",-20.241085,-56.37279,NA,NA,NA,"GBIF",2019,"MS","ID_121405","Presente",NA,NA,NA,NA
"62","Nandayus nenday","Miranda - MS","NA","2019-03-20T00:00:00",-20.22878,-56.38863,NA,NA,NA,"GBIF",2019,"MS","ID_121406","Presente",NA,NA,NA,NA
"63","Nandayus nenday","Pousada Rio Claro","NA","2019-03-27T00:00:00",-16.570503,-56.727146,NA,NA,NA,"GBIF",2019,"MT","ID_121407","Presente",NA,NA,NA,NA
"64","Nandayus nenday","Miranda - MS","NA","2019-03-21T00:00:00",-20.241125,-56.372757,NA,NA,NA,"GBIF",2019,"MS","ID_121410","Presente",NA,NA,NA,NA
"65","Nandayus nenday","Lodge Fazenda Barranco Alto","NA","2019-03-01T00:00:00",-19.577826,-56.150696,NA,NA,NA,"GBIF",2019,"MS","ID_121411","Presente",NA,NA,NA,NA
"66","Nandayus nenday","Porto Murtinho, Mato Grosso do Sul, BR","NA","2019-04-03T00:00:00",-21.70855,-57.892277,NA,NA,NA,"GBIF",2019,"MS","ID_121414","Presente",NA,NA,NA,NA
"67","Nandayus nenday","Porto Murtinho, Chaco","NA","2019-04-30T00:00:00",-21.71942,-57.8832,NA,NA,NA,"GBIF",2019,"MS","ID_121416","Presente",NA,NA,NA,NA
"68","Nandayus nenday","Porto Murtinho, Mato Grosso do Sul, (-21,698, -57,884)","NA","2019-04-29T00:00:00",-21.697672,-57.88356,NA,NA,NA,"GBIF",2019,"MS","ID_121418","Presente",NA,NA,NA,NA
"69","Nandayus nenday","Estrada Faz. Boqueirão","NA","2019-04-25T00:00:00",-21.10138,-56.715134,NA,NA,NA,"GBIF",2019,"MS","ID_121419","Presente",NA,NA,NA,NA
"70","Nandayus nenday","Corumbá","NA","2019-05-04T00:00:00",-19.012949,-57.641445,NA,NA,NA,"GBIF",2019,"MS","ID_121420","Presente",NA,NA,NA,NA
"71","Nandayus nenday","Porto Murtinho MS","NA","2019-05-04T00:00:00",-21.706493,-57.891693,NA,NA,NA,"GBIF",2019,"MS","ID_121423","Presente",NA,NA,NA,NA
"72","Nandayus nenday","Refugio Caiman, Mato Grosso do Sul, BR (-19,964, -56,307)","NA","2019-05-01T00:00:00",-19.963709,-56.307335,NA,NA,NA,"GBIF",2019,"MS","ID_121427","Presente",NA,NA,NA,NA
"73","Nandayus nenday","Porto Murtinho Até JARDIM ECOPARK","NA","2019-05-01T00:00:00",-21.71382,-57.67727,NA,NA,NA,"GBIF",2019,"MS","ID_121431","Presente",NA,NA,NA,NA
"74","Nandayus nenday","276 Avenida Ulisses Guimarães, Mato Grosso do Sul, BR (-20,539, -56,667)","NA","2019-05-01T00:00:00",-20.538946,-56.666607,NA,NA,NA,"GBIF",2019,"MS","ID_121435","Presente",NA,NA,NA,NA
"75","Nandayus nenday","Mato Grosso, BR (-16.618, -56.74)","NA","2019-05-29T00:00:00",-16.61823,-56.740192,NA,NA,NA,"GBIF",2019,"MT","ID_121437","Presente",NA,NA,NA,NA
"76","Nandayus nenday","Xaraés Lodge","NA","2019-05-26T00:00:00",-19.49379,-56.95731,NA,NA,NA,"GBIF",2019,"MS","ID_121439","Presente",NA,NA,NA,NA
"77","Nandayus nenday","Bonito--Pousada Olho d'Água","NA","2021-05-01T21:49:58",-21.11596,-56.51384,NA,NA,NA,"GBIF",2019,"MS","ID_121440","Presente",NA,NA,NA,NA
"78","Nandayus nenday","NA","NA","2019-06-27T16:49:00",-17.71664,-57.383413,NA,NA,NA,"GBIF",2019,"MT","ID_121442","Presente",NA,NA,NA,NA
"79","Nandayus nenday","Aquidauana to Aguapé","NA","2019-06-01T00:00:00",-20.504362,-55.84992,NA,NA,NA,"GBIF",2019,"MS","ID_121444","Presente",NA,NA,NA,NA
"80","Nandayus nenday","Pousada Pequi","NA","2019-06-28T00:00:00",-20.195187,-55.91752,NA,NA,NA,"GBIF",2019,"MS","ID_121448","Presente",NA,NA,NA,NA
"81","Nandayus nenday","BR-MS-Corumbá (-19,5768,-57,0190)","NA","2019-05-01T08:58:51",-19.576817,-57.018982,NA,NA,NA,"GBIF",2019,"MS","ID_121450","Presente",NA,NA,NA,NA
"82","Nandayus nenday","Poconé--Araras Eco Lodge","NA","2019-06-29T00:00:00",-16.51224,-56.71177,NA,NA,NA,"GBIF",2019,"MT","ID_121454","Presente",NA,NA,NA,NA
"83","Nandayus nenday","Araras Lodge","NA","2019-06-13T00:00:00",-16.512,-56.711,NA,NA,NA,"GBIF",2019,"MT","ID_121456","Presente",NA,NA,NA,NA
"84","Nandayus nenday","Between Aguapé and Aquidauana","NA","2019-06-04T00:00:00",-20.31382,-55.90233,NA,NA,NA,"GBIF",2019,"MS","ID_121457","Presente",NA,NA,NA,NA
"85","Nandayus nenday","Porto Murtinho, Mato Grosso do Sul, BR (-21,701, -57,848)","NA","2019-06-13T00:00:00",-21.700754,-57.84842,NA,NA,NA,"GBIF",2019,"MS","ID_121465","Presente",NA,NA,NA,NA
"86","Nandayus nenday","Brazil - Northern Pantanal","NA","2019-06-17T00:00:00",-16.620931,-56.734969,NA,NA,NA,"GBIF",2019,"NA","ID_121476","Presente",NA,NA,NA,NA
"87","Nandayus nenday","Pousada Aguapé - Sede","NA","2019-06-25T00:00:00",-20.09437,-55.9649,NA,NA,NA,"GBIF",2019,"NA","ID_121477","Presente",NA,NA,NA,NA
"88","Nandayus nenday","Unnamed Road, Mato Grosso do Sul, BR (-20.48, -55.85)","NA","2019-07-02T00:00:00",-20.479992,-55.84996,NA,NA,NA,"GBIF",2019,"MS","ID_121479","Presente",NA,NA,NA,NA
"89","Nandayus nenday","Refúgio Ecológico Caiman--General Area","NA","2019-07-09T00:00:00",-19.95431,-56.304276,NA,NA,NA,"GBIF",2019,"MS","ID_121480","Presente",NA,NA,NA,NA
"90","Nandayus nenday","Miranda--Fazenda San Francisco","NA","2019-07-19T00:00:00",-20.085772,-56.61538,NA,NA,NA,"GBIF",2019,"MS","ID_121484","Presente",NA,NA,NA,NA
"91","Nandayus nenday","Sucuri","NA","2019-07-05T00:00:00",-21.702852,-54.762768,NA,NA,NA,"GBIF",2019,"MS","ID_121493","Presente",NA,NA,NA,NA
"92","Nandayus nenday","Caiman Lodge-Baía Circuit","NA","2019-07-15T00:00:00",-19.964725,-56.315956,NA,NA,NA,"GBIF",2019,"MS","ID_121494","Presente",NA,NA,NA,NA
"93","Nandayus nenday","Poconé--Fazenda Santa Tereza (SouthWild Pantanal)","NA","2019-07-19T00:00:00",-16.758114,-56.87723,NA,NA,NA,"GBIF",2019,"MT","ID_121495","Presente",NA,NA,NA,NA
"94","Nandayus nenday","Rio Claro boat trip","NA","2019-07-22T00:00:00",-16.619621,-56.7347,NA,NA,NA,"GBIF",2019,"MT","ID_121502","Presente",NA,NA,NA,NA
"95","Nandayus nenday","Camino Facenda Tennessee, Mato Grosso do Sul, BR (-20.098, -55.983)","NA","2019-07-04T00:00:00",-20.097754,-55.982834,NA,NA,NA,"GBIF",2019,"MS","ID_121508","Presente",NA,NA,NA,NA
"96","Nandayus nenday","Fazenda  San Francisco","NA","2019-07-28T00:00:00",-20.085054,-56.614185,NA,NA,NA,"GBIF",2019,"MS","ID_121512","Presente",NA,NA,NA,NA
"97","Nandayus nenday","Pausada Rio Claro","NA","2019-07-22T00:00:00",-16.620674,-56.735146,NA,NA,NA,"GBIF",2019,"MT","ID_121514","Presente",NA,NA,NA,NA
"98","Nandayus nenday","Poconé--Porto Jofre","NA","2019-07-21T00:00:00",-17.357506,-56.768127,NA,NA,NA,"GBIF",2019,"MT","ID_121516","Presente",NA,NA,NA,NA
"99","Nandayus nenday","NA","NA","2019-08-02T14:52:42",-20.097193,-56.617992,NA,NA,NA,"GBIF",2019,"MS","ID_121519","Presente",NA,NA,NA,NA
"100","Nandayus nenday","NA","NA","2019-08-02T14:20:22",-20.086207,-56.614703,NA,NA,NA,"GBIF",2019,"MS","ID_121520","Presente",NA,NA,NA,NA
"101","Nandayus nenday","NA","NA","2019-08-02T14:51:13",-20.097185,-56.618003,NA,NA,NA,"GBIF",2019,"MS","ID_121521","Presente",NA,NA,NA,NA
"102","Nandayus nenday","NA","NA","2019-08-02T14:17:35",-20.08614,-56.614752,NA,NA,NA,"GBIF",2019,"MS","ID_121522","Presente",NA,NA,NA,NA
"103","Nandayus nenday","NA","NA","2019-08-05T14:39:28",-20.08543,-56.614482,NA,NA,NA,"GBIF",2019,"MS","ID_121523","Presente",NA,NA,NA,NA
"104","Nandayus nenday","NA","NA","2019-08-02T14:22:35",-20.086178,-56.614883,NA,NA,NA,"GBIF",2019,"MS","ID_121524","Presente",NA,NA,NA,NA
"105","Nandayus nenday","NA","NA","2019-08-02T14:21:56",-20.086178,-56.614878,NA,NA,NA,"GBIF",2019,"MS","ID_121525","Presente",NA,NA,NA,NA
"106","Nandayus nenday","BR-262, Miranda BR-MS (-20,2304,-56,3913)","NA","2019-08-13T00:00:00",-20.230448,-56.39127,NA,NA,NA,"GBIF",2019,"MS","ID_121526","Presente",NA,NA,NA,NA
"107","Nandayus nenday","(-20,2367,-56,3721)","NA","2019-08-17T00:00:00",-20.236734,-56.37205,NA,NA,NA,"GBIF",2019,"MS","ID_121528","Presente",NA,NA,NA,NA
"108","Nandayus nenday","MT-060, Pocone BR-MT (-16.6786,-56.8128)","NA","2019-08-24T00:00:00",-16.678566,-56.81282,NA,NA,NA,"GBIF",2019,"MT","ID_121530","Presente",NA,NA,NA,NA
"109","Nandayus nenday","Traspantaneira--km 17","NA","2019-08-20T00:00:00",-16.410007,-56.673504,NA,NA,NA,"GBIF",2019,"MT","ID_121532","Presente",NA,NA,NA,NA
"110","Nandayus nenday","Pantanal -- Pousada Pouso Alegre","NA","2019-08-15T00:00:00",-16.503078,-56.745335,NA,NA,NA,"GBIF",2019,"MT","ID_121536","Presente",NA,NA,NA,NA
"111","Nandayus nenday","MS-339, Miranda BR-MS (-20,2349,-56,3945)","NA","2019-08-11T00:00:00",-20.234945,-56.394463,NA,NA,NA,"GBIF",2019,"MS","ID_121538","Presente",NA,NA,NA,NA
"112","Nandayus nenday","Miranda--área geral","NA","2019-08-13T00:00:00",-20.255997,-56.407715,NA,NA,NA,"GBIF",2019,"MS","ID_121541","Presente",NA,NA,NA,NA
"113","Nandayus nenday","Porto Murtinho, Mato Grosso do Sul, BR (-21,701, -57,879)","NA","2019-08-24T00:00:00",-21.700722,-57.879456,NA,NA,NA,"GBIF",2019,"MS","ID_121545","Presente",NA,NA,NA,NA
"114","Nandayus nenday","BR,Pantanal: Transpantaneira from km 140 -66","NA","2019-08-26T00:00:00",-16.9914,-56.958282,NA,NA,NA,"GBIF",2019,"MT","ID_121546","Presente",NA,NA,NA,NA
"115","Nandayus nenday","Brazil - Northern Pantanal","NA","2019-08-13T00:00:00",-16.620717,-56.735282,NA,NA,NA,"GBIF",2019,"NA","ID_121561","Presente",NA,NA,NA,NA
"116","Nandayus nenday","Brazil - Northern Pantanal","NA","2019-08-17T00:00:00",-16.600695,-56.729462,NA,NA,NA,"GBIF",2019,"NA","ID_121562","Presente",NA,NA,NA,NA
"117","Nandayus nenday","Brazil - Northern Pantanal","NA","2019-08-17T00:00:00",-16.600561,-56.729549,NA,NA,NA,"GBIF",2019,"NA","ID_121563","Presente",NA,NA,NA,NA
"118","Nandayus nenday","Estrada-Parque Pantanal Sul","NA","2019-08-14T00:00:00",-19.555666,-57.038612,NA,NA,NA,"GBIF",2019,"MS","ID_121566","Presente",NA,NA,NA,NA
"119","Nandayus nenday","Base de Estudos do Pantanal - BEP","NA","2019-09-10T00:00:00",-19.57694,-57.019142,NA,NA,NA,"GBIF",2019,"MS","ID_121567","Presente",NA,NA,NA,NA
"120","Nandayus nenday","Forte Coimbra , Mato Grosso do Sul, BR (-19,919, -57,791)","NA","2019-09-17T00:00:00",-19.919157,-57.790707,NA,NA,NA,"GBIF",2019,"MS","ID_121572","Presente",NA,NA,NA,NA
"121","Nandayus nenday","Redário Xaraés","NA","2019-09-14T00:00:00",-19.47067,-56.910103,NA,NA,NA,"GBIF",2019,"MS","ID_121573","Presente",NA,NA,NA,NA
"122","Nandayus nenday","Fazenda Barranco Alto","NA","2019-09-05T00:00:00",-19.577219,-56.150867,NA,NA,NA,"GBIF",2019,"MS","ID_121578","Presente",NA,NA,NA,NA
"123","Nandayus nenday","Pousada Rio Clarinho","NA","2019-09-04T00:00:00",-16.60062,-56.72958,NA,NA,NA,"GBIF",2019,"MT","ID_121584","Presente",NA,NA,NA,NA
"124","Nandayus nenday","Poconé","NA","2019-09-05T00:00:00",-16.678782,-56.812126,NA,NA,NA,"GBIF",2019,"MT","ID_121625","Presente",NA,NA,NA,NA
"125","Nandayus nenday","Rio Claro, Poconé - State of Mato Grosso, Brazil","NA","2019-09-04T00:00:00",-16.620821,-56.73525,NA,NA,NA,"GBIF",2019,"MT","ID_121627","Presente",NA,NA,NA,NA
"126","Nandayus nenday","Porto Jofre","NA","2019-09-07T00:00:00",-17.3645,-56.7754,NA,NA,NA,"GBIF",2019,"MT","ID_121634","Presente",NA,NA,NA,NA
"127","Nandayus nenday","Mato Grosso, BR (-16,578, -56,72)","NA","2019-09-22T00:00:00",-16.578442,-56.72041,NA,NA,NA,"GBIF",2019,"MT","ID_121635","Presente",NA,NA,NA,NA
"128","Nandayus nenday","Brazil - Northern Pantanal","NA","2019-09-04T00:00:00",-16.620798,-56.735447,NA,NA,NA,"GBIF",2019,"NA","ID_121636","Presente",NA,NA,NA,NA
"129","Nandayus nenday","Brazil - Northern Pantanal","NA","2019-09-04T00:00:00",-16.620819,-56.735405,NA,NA,NA,"GBIF",2019,"NA","ID_121637","Presente",NA,NA,NA,NA
"130","Nandayus nenday","NA","NA","2019-09-23T05:14:00",-20.096037,-55.965436,NA,NA,NA,"GBIF",2019,"MS","ID_121638","Presente",NA,NA,NA,NA
"131","Nandayus nenday","Estrada de acesso à Fazenda San Francisco","NA","2019-09-29T00:00:00",-20.111713,-56.619347,NA,NA,NA,"GBIF",2019,"MS","ID_121640","Presente",NA,NA,NA,NA
"132","Nandayus nenday","Miranda town area","NA","2019-09-24T00:00:00",-20.2405,-56.397003,NA,NA,NA,"GBIF",2019,"MS","ID_121647","Presente",NA,NA,NA,NA
"133","Nandayus nenday","Estrada de acesso à Pousada Aguapé","NA","2019-09-26T00:00:00",-20.304035,-55.912754,NA,NA,NA,"GBIF",2019,"MS","ID_121651","Presente",NA,NA,NA,NA
"134","Nandayus nenday","NA","NA","2019-10-14T13:24:00",-16.620808,-56.735247,NA,NA,NA,"GBIF",2019,"MT","ID_121653","Presente",NA,NA,NA,NA
"135","Nandayus nenday","Pantanal--central Transpantaneira (km 60-120)","NA","2019-10-03T00:00:00",-16.784206,-56.844017,NA,NA,NA,"GBIF",2019,"MT","ID_121654","Presente",NA,NA,NA,NA
"136","Nandayus nenday","(-16.6197,-56.7348)","NA","2019-10-14T00:00:00",-16.619719,-56.734787,NA,NA,NA,"GBIF",2019,"MT","ID_121658","Presente",NA,NA,NA,NA
